Number of sensors,Algorithm,Hypervolume,Spacing Indicator,Generational distance,Inverted generational distance,Epsilon additive indicator
100,MOEA/D,0.5523211354520959,0.025419101433082677,0.0006316984611015691,0.008393549498602932,0.06643610332632077
100,NSGA2,0.5639977737539451,0.018711786857814338,0.001287651720057179,0.0013496328051810552,0.03568379736424032
300,MOEA/D,0.7973936045159227,0.04372532962026291,0.0009084448919918994,0.010764767856964893,0.030158993934695913
300,NSGA2,0.8147000001292752,0.017917008807222454,0.0012841745517384326,0.003606468306728235,0.08401666468718327
700,MOEA/D,0.8069199182319401,0.029368256242131543,0.00010492566256357581,0.008682269804075795,0.010187565649027508
700,NSGA2,0.7988760107002195,0.016999656337285892,0.002102019411112343,0.0037758563080538743,0.14754098360655743
