,Dataset No.,Run No.,Power weight,Num. weight,Dist. weight,Power_first,Num. Active Sensors_first,Avg. Dist. to Sink node_first,Power_last,Num. Active Sensors_last,Avg. Dist. to Sink node_last
0,3.0,0.0,0.1,0.1,0.8,16401.72247074368,34.0,287.9935296581447,18788.09146690213,20.0,236.661860910716
1,3.0,0.0,0.2,0.1,0.7,18237.088349025245,28.0,292.0926029522633,13816.69944473495,23.0,291.27609024804167
2,3.0,0.0,0.5,0.1,0.4,15373.377307154346,29.0,296.827234584456,13327.421398456376,25.0,295.9355831416096
3,3.0,0.0,0.6,0.1,0.3,20567.229798480046,22.0,303.24687518906666,12914.52606222058,25.0,295.3427057825545
4,3.0,0.0,0.7,0.1,0.2,16889.870859737686,29.0,322.50689599255526,12914.52606222058,25.0,295.3427057825545
5,3.0,0.0,0.8,0.1,0.1,21129.4162387637,22.0,296.37840192912944,12934.536815100462,25.0,292.901529564198
6,3.0,0.0,0.1,0.2,0.7,16188.204136162103,23.0,266.85785424287076,17033.175238889304,21.0,246.5762289319042
7,3.0,0.0,0.2,0.2,0.6,20166.865436852037,24.0,326.00602473486845,13880.057796814588,23.0,290.4972621112421
8,3.0,0.0,0.5,0.2,0.3,17807.72625784084,31.0,286.83700252308074,12836.17670158144,25.0,295.1049217251564
9,3.0,0.0,0.6,0.2,0.2,17426.987247231264,26.0,305.748674680266,12836.17670158144,25.0,295.1049217251564
10,3.0,0.0,0.7,0.2,0.1,17312.358023659872,30.0,298.54065190612914,12836.17670158144,25.0,295.1049217251564
11,3.0,0.0,0.1,0.3,0.6,18151.6847104666,28.0,267.02173843047825,15575.48439887897,21.0,259.8682544550743
12,3.0,0.0,0.5,0.3,0.2,15981.820940251613,28.0,293.92513339868793,12836.17670158144,25.0,295.1049217251564
13,3.0,0.0,0.6,0.3,0.1,17151.21562746857,28.0,275.96060054498207,12836.17670158144,25.0,295.1049217251564
14,3.0,0.0,0.1,0.4,0.5,18649.840023239238,27.0,296.38501818122285,13412.868512268551,24.0,270.3088711284254
15,3.0,0.0,0.5,0.4,0.1,17384.333780494722,27.0,298.44794454440074,13451.317149439203,23.0,279.9130509599171
16,3.0,0.0,0.1,0.5,0.4,17177.09975760227,29.0,283.0940152461148,12947.36426830889,24.0,288.36432792388956
17,3.0,0.0,0.1,0.6,0.3,19090.187438598878,26.0,303.7441943956273,13527.68951463072,23.0,282.339347435315
18,3.0,0.0,0.1,0.7,0.2,24569.641516131298,19.0,284.34489978662896,14656.724475391817,21.0,280.3520916769877
19,3.0,0.0,0.1,0.8,0.1,14423.486313886848,29.0,292.89789671272456,15926.975005552078,20.0,275.3275291348059
20,3.0,1.0,0.1,0.1,0.8,16476.51647315839,29.0,311.1709428597357,17812.118077575364,23.0,222.46584692166525
21,3.0,1.0,0.2,0.1,0.7,19399.5241783166,26.0,285.1255598118436,13894.653081529144,29.0,288.66205322391846
22,3.0,1.0,0.5,0.1,0.4,21408.030110874235,22.0,299.13177882234,12117.86599194421,28.0,288.809995777529
23,3.0,1.0,0.6,0.1,0.3,16554.297779868444,29.0,296.97823337177283,12001.537493862548,28.0,287.1387448908357
24,3.0,1.0,0.7,0.1,0.2,18039.22795874223,30.0,298.55214234447004,12001.537493862548,28.0,287.1387448908357
25,3.0,1.0,0.8,0.1,0.1,22278.32045892087,26.0,284.11595916230624,13056.078102113011,29.0,301.1497101284057
26,3.0,1.0,0.1,0.2,0.7,19250.47282703227,26.0,329.5067807828999,15676.764276049847,26.0,227.94916522364903
27,3.0,1.0,0.2,0.2,0.6,15648.993765642379,33.0,286.04392748119886,13894.653081529144,29.0,288.66205322391846
28,3.0,1.0,0.5,0.2,0.3,17893.122200494123,26.0,270.3398348010758,11677.39401975531,29.0,295.44559172608217
29,3.0,1.0,0.6,0.2,0.2,22963.362570589463,21.0,294.26972268649575,11677.39401975531,29.0,295.44559172608217
30,3.0,1.0,0.7,0.2,0.1,18528.521292471156,27.0,290.1147008970749,11759.614178672697,29.0,295.1402861383496
31,3.0,1.0,0.1,0.3,0.6,16892.031849317074,31.0,285.9869356309739,14586.451762324763,27.0,243.03238990836184
32,3.0,1.0,0.5,0.3,0.2,18583.358166911567,25.0,288.3909342638664,11677.39401975531,29.0,295.44559172608217
33,3.0,1.0,0.6,0.3,0.1,16244.67691041675,27.0,288.6144786733447,11759.614178672697,29.0,295.1402861383496
34,3.0,1.0,0.1,0.4,0.5,19855.734442968125,26.0,297.9085154978418,13252.486339601734,26.0,266.4689083315185
35,3.0,1.0,0.5,0.4,0.1,16240.062283281262,31.0,300.62443475446594,11759.614178672697,29.0,295.1402861383496
36,3.0,1.0,0.1,0.5,0.4,18878.093929623454,27.0,322.67527810935974,13019.339922193923,26.0,267.11953162028783
37,3.0,1.0,0.1,0.6,0.3,18497.945601175223,27.0,316.2339555057293,13728.628871608105,23.0,274.7866704231996
38,3.0,1.0,0.1,0.7,0.2,17578.08681271469,31.0,291.2283537799735,14871.768324695204,21.0,274.906166699103
39,3.0,1.0,0.1,0.8,0.1,16141.200670404662,28.0,273.66576617790673,15406.743420946777,19.0,285.0761062930971
40,3.0,2.0,0.1,0.1,0.8,19797.191726429737,29.0,324.62860086657867,20305.11357053187,19.0,289.4774119891095
41,3.0,2.0,0.2,0.1,0.7,19136.969563381128,29.0,275.0146101574281,12791.63604591805,25.0,289.88487479133
42,3.0,2.0,0.5,0.1,0.4,16053.14292537948,30.0,286.97592755879845,12020.117204895154,29.0,298.8875407171836
43,3.0,2.0,0.6,0.1,0.3,20441.644263490794,24.0,329.1660554115917,11745.1331851328,29.0,288.0408919444526
44,3.0,2.0,0.7,0.1,0.2,21077.004005751627,26.0,270.09154396233686,11745.1331851328,29.0,288.0408919444526
45,3.0,2.0,0.8,0.1,0.1,20883.389818721156,24.0,310.4131667592735,11878.131318323582,28.0,294.13890519270217
46,3.0,2.0,0.1,0.2,0.7,20282.87035040536,22.0,269.2393527738406,16604.289810731556,21.0,237.12425997865662
47,3.0,2.0,0.2,0.2,0.6,18766.357357361576,27.0,305.0737614374014,12791.63604591805,25.0,289.88487479133
48,3.0,2.0,0.5,0.2,0.3,20728.161168986757,26.0,294.646255453574,11745.1331851328,29.0,288.0408919444526
49,3.0,2.0,0.6,0.2,0.2,17998.34359936459,30.0,278.972681855783,11744.7135558343,29.0,287.74822449123707
50,3.0,2.0,0.7,0.2,0.1,15734.414384127858,32.0,313.0958264310605,11744.7135558343,29.0,287.74822449123707
51,3.0,2.0,0.1,0.3,0.6,17078.54053850374,28.0,295.5590832624719,14691.251911218496,24.0,246.82920442695738
52,3.0,2.0,0.5,0.3,0.2,17169.12466847822,33.0,294.534502638106,11748.769201899628,29.0,288.16130631346
53,3.0,2.0,0.6,0.3,0.1,17691.219639813684,29.0,290.50597799567146,11744.7135558343,29.0,287.74822449123707
54,3.0,2.0,0.1,0.4,0.5,17722.86474015656,26.0,292.88814546542596,13083.08299447764,25.0,262.3660356390014
55,3.0,2.0,0.5,0.4,0.1,23208.61236857683,24.0,309.8186891295073,11901.215646320075,29.0,288.71440773582384
56,3.0,2.0,0.1,0.5,0.4,22667.120179974387,23.0,280.2435578613144,12961.629086245355,25.0,278.13513978862125
57,3.0,2.0,0.1,0.6,0.3,18460.12447669423,26.0,304.06020962122506,13621.495755502869,23.0,275.770663420211
58,3.0,2.0,0.1,0.7,0.2,18765.30417135987,28.0,289.9154419370692,14440.70796198878,21.0,276.9949881868827
