,Power_first_mean,Power_first_std,Num. Active Sensors_first_mean,Num. Active Sensors_first_std,Avg. Dist. to Sink node_first_mean,Avg. Dist. to Sink node_first_std,Power_last_mean,Power_last_std,Num. Active Sensors_last_mean,Num. Active Sensors_last_std,Avg. Dist. to Sink node_last_mean,Avg. Dist. to Sink node_last_std
0,18592.90541768087,2341.0156721711273,30.2,4.874423042781576,285.85307737824553,26.6516883806877,18577.531136057583,962.478891110177,22.8,2.315167380558045,240.8520648180387,24.823724676281685
1,18023.00624819626,1253.00111878933,29.8,5.775811631277461,276.3058633033938,8.739200231105874,12590.483312990358,782.3832106937202,27.6,1.4966629547095764,287.99418621613665,9.79820154989187
2,18765.85566740596,4123.755855423073,26.8,3.655133376499413,282.0370620361535,12.815008011704293,12196.174492312206,736.7128506357632,28.0,1.5491933384829668,290.12422254604905,4.673496524092423
3,18035.807576875446,1348.0056223451818,27.8,2.4,298.36531065436185,18.348200061064908,11840.514582887005,379.13261252807547,28.8,1.32664991614216,291.15569406231236,4.090991638910583
4,18725.174494936517,1321.5221201983938,28.2,1.5999999999999999,279.5180523074641,11.869179057201398,11840.514582887005,379.13261252807547,28.8,1.32664991614216,291.15569406231236,4.090991638910583
5,19762.06287183966,1935.5648222660363,26.4,2.3323807579381204,291.6811568950153,14.558013271033603,12724.608930578474,1522.284764211395,28.8,1.1661903789690602,292.2161204324824,7.510882673838332
6,18766.999399440472,1398.4906878033769,25.6,2.244994432064365,287.7090008996458,22.470544832779794,16429.927056732555,428.10231590248196,23.6,1.854723699099141,237.0346712695085,5.365652122260877
7,17573.6751494326,1591.0459747780344,29.2,2.1354156504062622,297.7458851974694,13.97019821958657,12590.483312990358,782.3832106937202,27.6,1.4966629547095764,287.99418621613665,9.79820154989187
8,19054.9013227191,1901.5296026614903,28.6,2.6532998322843198,283.15480088436703,15.293516707391532,11754.431476496075,389.5695035527021,29.0,1.2649110640673518,295.35123379451545,5.292079929020045
9,19123.40288658345,2001.1151621914564,26.2,3.1874754901018454,285.8418903628446,12.668190882414716,11754.347550636374,389.57154286047546,29.0,1.2649110640673518,295.29270030387227,5.373603474932011
10,17311.982614381515,3024.035805963553,29.0,3.847076812334269,297.5126388589852,8.968764019680473,11913.01912156934,657.5943230918963,28.6,1.9595917942265424,292.3102420969209,6.522205262199943
11,17927.462969728207,2218.8610482757863,28.4,2.727636339397171,284.2229349165379,6.327295456508108,14680.516836632547,85.86695711109947,25.4,1.8547236990991407,246.33745123034396,2.0322393113019914
12,16848.86592717243,1302.3320236720522,29.6,2.576819745345025,286.2349732394763,7.191895992659784,11755.158679849439,389.5548612196329,29.0,1.2649110640673518,295.3753166683169,5.25892782170829
13,17268.568977331528,1960.3099292897343,28.6,2.0591260281974,285.6212822907879,11.832821376711458,11913.01912156934,657.5943230918963,28.6,1.9595917942265424,292.3102420969209,6.522205262199943
14,18234.535558821208,2521.642715196144,27.8,2.7129319932501073,287.40458687975115,11.009482821573739,13200.053607908849,243.23990086024878,25.6,1.4966629547095764,260.2421571609497,5.122998531874022
15,18625.150178754546,3377.067260238428,27.8,2.9257477676655586,283.23836331797025,20.046162017761706,12383.756788329443,816.7665381684225,28.0,2.0,287.1292614870189,6.876505286352834
16,18860.929280358447,2067.7773837101563,29.0,3.5777087639996634,293.30506234123595,23.796378340349,13056.537255528048,306.8741502544443,25.0,1.0954451150103321,270.41267938343634,11.75475387928977
17,18860.419266204604,1913.1851241269794,27.8,4.019950248448357,285.69022345022483,26.184188422916243,13838.84589210818,284.0014555845832,23.2,0.39999999999999997,276.7112854081867,16.415115067427422
18,20047.666408328114,4409.889325455915,28.8,2.4819347291981715,275.74687210838067,19.36172667078691,14634.023486817803,217.94079770422172,21.0,0.0,277.7569297408361,10.620072924763335
19,18857.003611530025,3017.018143104428,27.6,2.870540018881465,287.535155335017,20.385530992501966,15576.753401543625,272.97346043223274,19.6,0.4898979485566356,280.723808323341,8.653810241096744
